2021-06-04 13:54:01.130	     0x11894ee00	INFO	logging	contrib/epee/src/mlog.cpp:273	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.ssl:FATAL,net.p2p:FATAL,net.cn:FATAL,daemon.rpc:FATAL,global:INFO,verify:FATAL,serialization:FATAL,daemon.rpc.payment:ERROR,stacktrace:INFO,logging:INFO,msgwriter:INFO
2021-06-04 13:54:25.102	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <af83103b2a336c470e20c3b4ee08a336304dd761c207450aab359024dde684be>
2021-06-04 13:54:25.121	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <ec045ff705fcb72a0f5e03218fbd4614b02485e634d103b251a9f83efa0ff400>
2021-06-04 13:54:25.142	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <6a8e8fceac3d0f8eda8aa8b8b30b5d815fe064a7cb68f96ba8735b78602cceb4>
2021-06-04 13:54:25.164	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <0b19fceb1185954b675cb9ecfa9f3e8ff8ee1e1d712dd812cbf12dc958f314fd>
2021-06-04 13:54:25.184	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <bbef36d8f500fd80b59eb97dec8f6b21c08f5c3ac6bf4fcc28dbcf8fc800ef9c>
2021-06-04 13:54:25.203	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <526a3b712301d0d75d5c71e793672ec9f548d0406e85428ebf2248ee6b159a38>
2021-06-04 13:54:25.893	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <bd782e44bfd6358830893e99dfdf293a09e581a665225fdbb5d4e139c9cf8c3e>
2021-06-04 13:54:25.913	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <26117e0bff7284d7d58a01a197a046474e87a56e5c051abbde3d22ed5b0ff5ee>
2021-06-04 13:54:25.932	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <ca815667bcec511e4507a41335ad1a4b1c52adeceff8346d263279463fee15ec>
2021-06-04 13:54:25.952	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 0.0617, with tx: <7f78f2c5c971fd7be75acc0aaa2e63013850e889a27f1833e3ca344c681caa49>
2021-06-04 13:54:26.949	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 4902.7009, with tx: <eada5c235bde57d54a306d451d38f98b1e0e08efbb45f39d4e84e7f1706648d9>
2021-06-04 14:06:20.100	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:9210	we could use 1 and 179
2021-06-04 14:06:23.235	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.h:2266	amount=4902.7009, real_output=15, real_output_in_tx_index=1, indexes: 1642348 1936699 2007712 2054107 2056639 2059364 2061398 2061672 2061804 2062124 2062543 2062908 2063421 2063640 2063720 2064145 
2021-06-04 14:06:23.235	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.h:2266	amount=1000.0000, real_output=1, real_output_in_tx_index=0, indexes: 1882527 1938505 1960936 2000276 2030226 2048087 2055754 2055938 2057681 2058187 2060205 2062380 2062857 2063579 2064029 2064063 
2021-06-04 14:06:23.250	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.h:2266	amount=4902.7009, real_output=15, real_output_in_tx_index=1, indexes: 1642348 1936699 2007712 2054107 2056639 2059364 2061398 2061672 2061804 2062124 2062543 2062908 2063421 2063640 2063720 2064145 
2021-06-04 14:06:23.250	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.h:2266	amount=1000.0000, real_output=1, real_output_in_tx_index=0, indexes: 1882527 1938505 1960936 2000276 2030226 2048087 2055754 2055938 2057681 2058187 2060205 2062380 2062857 2063579 2064029 2064063 
2021-06-04 14:12:02.995	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2167	Received money: 999.9919, with tx: <b34da5381bbaf1538888ccf6add17d316143f5bf1304738f0f7dfb99d26465f0>
2021-06-04 14:12:02.996	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2346	Spent money: 1000.0000, with tx: <b34da5381bbaf1538888ccf6add17d316143f5bf1304738f0f7dfb99d26465f0>
2021-06-04 14:12:02.996	[RPC0]	WARNING	wallet.wallet2	src/wallet/wallet2.cpp:2346	Spent money: 4902.7009, with tx: <b34da5381bbaf1538888ccf6add17d316143f5bf1304738f0f7dfb99d26465f0>
2021-06-04 15:40:11.435	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-04 15:40:11.436	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:53	Failed to invoke http request to  /get_transaction_pool_hashes.bin
2021-06-04 15:40:11.437	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
